,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,LLM,False Positives,False Negatives,Incorrect Extractions,Correct Matches,Precision,Recall,F1score,Accuracy,Parsed,Hospital,Prompt,Distressed
104,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,mistral(24b),6.0,10.0,4.0,34.0,77.27272727272727,77.27272727272727,77.27272727272727,70.83333333333334,True,UHN,Normal,False
105,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,mistral(24b),,,,,,,,,False,UHN,Normal,True
106,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,gemma327b,5.0,9.0,6.0,33.0,75.0,78.57142857142857,76.74418604651164,68.75,True,UHN,Normal,False
107,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,llama3.170b,15.0,26.0,4.68,17.32,46.81081081081081,39.98153277931672,43.12749003984063,36.083333333333336,True,UHN,Normal,True
108,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,llama3.170b,7.0,12.0,3.0,33.0,76.74418604651163,73.33333333333333,75.00000000000001,68.75,True,UHN,Normal,False
109,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,gemma327b,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,UHN,Normal,True
110,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,mistral(24b),15.0,33.0,3.0,12.0,40.0,26.666666666666668,32.0,25.0,True,fakeHospital1,LTNER/GPT-NER,True
111,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,llama3.170b,7.0,13.0,5.0,30.0,71.42857142857143,69.76744186046511,70.58823529411764,62.5,True,fakeHospital1,LTNER/GPT-NER,False
112,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,mistral(24b),8.0,12.0,3.0,33.0,75.0,73.33333333333333,74.15730337078652,68.75,True,fakeHospital1,LTNER/GPT-NER,False
113,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,llama3.170b,5.0,11.0,5.0,32.0,76.19047619047619,74.4186046511628,75.29411764705883,66.66666666666666,True,fakeHospital1,LTNER/GPT-NER,True
114,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,gemma327b,6.0,11.0,7.0,30.0,69.76744186046511,73.17073170731707,71.42857142857142,62.5,True,fakeHospital1,LTNER/GPT-NER,False
115,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,gemma327b,3.0,32.0,3.0,13.0,68.42105263157895,28.88888888888889,40.625,27.083333333333332,True,fakeHospital1,LTNER/GPT-NER,True
116,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,mistral(24b),8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,fakeHospital2,LTNER/GPT-NER,True
117,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,mistral(24b),10.0,31.0,2.0,15.0,55.55555555555556,32.608695652173914,41.0958904109589,31.25,True,fakeHospital2,LTNER/GPT-NER,False
118,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,gemma327b,3.0,31.0,2.0,15.0,75.0,32.608695652173914,45.45454545454546,31.25,True,fakeHospital2,LTNER/GPT-NER,False
119,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,llama3.170b,5.0,16.0,6.0,26.0,70.27027027027027,61.904761904761905,65.82278481012658,54.166666666666664,True,fakeHospital2,LTNER/GPT-NER,True
120,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,gemma327b,15.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,fakeHospital2,LTNER/GPT-NER,True
121,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,llama3.170b,1.0,4.0,7.0,37.0,82.22222222222221,90.2439024390244,86.04651162790697,77.08333333333334,True,fakeHospital2,LTNER/GPT-NER,False
122,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,llama3.170b,4.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,CHEO,LTNER/GPT-NER,False
123,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,mistral(24b),,,,,,,,,False,CHEO,LTNER/GPT-NER,True
124,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,gemma327b,18.0,47.0,0.0,1.0,5.263157894736842,2.083333333333333,2.9850746268656714,2.083333333333333,True,CHEO,LTNER/GPT-NER,True
