LLM,False Positives,False Negatives,Incorrect Extractions,Correct Matches,Precision,Recall,F1score,Accuracy,Source,Hospital
gemma34b*ImageInput*,13.0,20.0,13.0,22.0,62.857142857142854,52.38095238095239,57.142857142857146,52.38095238095239,Ollama,hospital2
granite3.2*ImageInput*,4.0,12.0,4.0,30.0,88.23529411764706,71.42857142857143,78.94736842105263,71.42857142857143,Ollama,hospital2
qwen2.5vl3b*ImageInput*,13.0,28.0,13.0,13.0,50.0,31.70731707317073,38.80597014925373,30.952380952380953,Ollama,hospital2
gpt-4.1-nano*ImageInput*,1.0,24.0,1.0,18.0,94.73684210526316,42.857142857142854,59.01639344262294,42.857142857142854,OpenAi,hospital1
gpt-4o*ImageInput*,26.0,22.0,14.0,7.0,21.21212121212121,24.13793103448276,22.58064516129032,16.666666666666664,OpenAi,hospital1
gpt-4o-mini*ImageInput*,1.0,24.0,0.0,17.0,94.44444444444444,41.46341463414634,57.6271186440678,40.476190476190474,OpenAi,hospital1
gpt-4o*ImageInput*,24.0,30.0,22.0,9.0,27.27272727272727,23.076923076923077,25.0,21.428571428571427,OpenAi,hospital2
gpt-4o-mini*ImageInput*,1.0,34.0,0.0,7.0,87.5,17.073170731707318,28.571428571428573,16.666666666666664,OpenAi,hospital2
gpt-4.1-nano*ImageInput*,3.0,32.0,3.0,10.0,76.92307692307693,23.809523809523807,36.36363636363636,23.809523809523807,OpenAi,hospital2
NuExtract:0.5B,1.0,1.0,1.0,41.0,97.61904761904762,97.61904761904762,97.61904761904762,97.61904761904762,huggingface,hospital1
NuExtract:2B,1.0,1.0,1.0,41.0,97.61904761904762,97.61904761904762,97.61904761904762,97.61904761904762,huggingface,hospital1
NuExtract:2B,1.0,1.0,1.0,41.0,97.61904761904762,97.61904761904762,97.61904761904762,97.61904761904762,huggingface,hospital2
NuExtract:0.5B,1.0,1.0,1.0,41.0,97.61904761904762,97.61904761904762,97.61904761904762,97.61904761904762,huggingface,hospital2
GLiNER:NuNerZero,5.0,16.0,5.0,5.0,50.0,23.809523809523807,32.25806451612903,19.230769230769234,GLiNER,hospital2
GLiNER:NuNerZero,5.0,5.0,10.0,6.0,54.54545454545454,54.54545454545454,54.54545454545454,23.076923076923077,GLiNER,hospital1
GLiNER:NuNerZero,0.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,GLiNER,hospital2
GLiNER:NuNerZero,5.0,5.0,10.0,6.0,54.54545454545454,54.54545454545454,54.54545454545454,23.076923076923077,GLiNER,hospital1
GLiNER:NuNerZero,0.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,GLiNER,hospital2
GLiNER:NuNerZero,5.0,5.0,10.0,7.0,58.333333333333336,58.333333333333336,58.33333333333333,0.0,GLiNER,hospital1
GLiNER:NuNerZero,0.0,11.0,13.0,8.0,100.0,42.10526315789473,59.25925925925925,7.6923076923076925,GLiNER,hospital2
GLiNER:NuNerZero,5.0,5.0,3.0,7.0,58.333333333333336,58.333333333333336,58.33333333333333,26.923076923076923,GLiNER,hospital1
GLiNER:NuNerZero,0.0,11.0,7.0,8.0,100.0,42.10526315789473,59.25925925925925,30.76923076923077,GLiNER,hospital2
GLiNER:NuNerZero,5.0,5.0,9.0,7.0,26.923076923076923,26.923076923076923,26.923076923076923,26.923076923076923,GLiNER,hospital1
GLiNER:NuNerZero,0.0,11.0,7.0,8.0,30.76923076923077,30.76923076923077,30.76923076923077,30.76923076923077,GLiNER,hospital2
GLiNER:NuNerZero,10.0,36.0,21.0,4.0,5.633802816901409,5.633802816901409,5.633802816901409,5.633802816901409,GLiNER,hospital1
GLiNER:NuNerZero,5.0,61.0,5.0,5.0,7.042253521126761,7.042253521126761,7.042253521126761,7.042253521126761,GLiNER,hospital2
